quote,digits,point,minDist,value,minSize,stepSize,maxSize,commission,leverage
AUDCAD,5,1e-05,0.0,0.77874,0.01,0.01,150.0,7,100
AUDCHF,5,1e-05,0.0,1.12604,0.01,0.01,150.0,7,100
AUDJPY,3,0.001,0.0,0.964,0.01,0.01,150.0,7,100
AUDNZD,5,1e-05,0.0,0.71102,0.01,0.01,150.0,7,100
AUDSGD,5,1e-05,0.0,0.75222,0.01,0.01,50.0,7,100
AUDUSD,5,1e-05,0.0,1.0,0.01,0.01,200.0,7,100
AUS200,2,0.01,0.0,0.01,1.0,1.0,250.0,7,100
BCHUSD,0,0.0,0.0,0.0,0.0,0.0,10.0,7,100
BRENT_G1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
BRENT_H1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
BRENT_J1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
BRENT_K1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
BRENT_M1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
BRENT_N1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
BRENT_Q1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
BRENT_U1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
BRENT_V1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
BRENT_V9,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
BRENT_X1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
BRENT_X9,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
BRENT_Z1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
BRENT_Z9,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
BTCUSD,0,0.0,0.0,0.0,0.0,0.0,10.0,7,100
CA60,0,0.0,0.0,0.0,1.0,1.0,250.0,7,100
CADCHF,5,1e-05,0.0,1.12604,0.01,0.01,150.0,7,100
CADJPY,3,0.001,0.0,0.964,0.01,0.01,150.0,7,100
CHFJPY,3,0.001,0.0,0.964,0.01,0.01,150.0,7,100
CHFSGD,5,1e-05,0.0,0.75222,0.01,0.01,50.0,7,100
CHINA50,2,0.01,0.0,0.01,1.0,1.0,250.0,7,100
CHINAH,0,0.0,0.0,0.0,1.0,1.0,250.0,7,100
Cocoa_H1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Cocoa_K1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Cocoa_N1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Cocoa_U1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Cocoa_Z0,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Cocoa_Z1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Cocoa_Z9,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Coffee_H1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
